+ Neovim,1
BBEdit,1
Eclipse,2
Far manager or any simple text editor,1
Geany,3
Gedit,3
HEAT,1
Haskell IDE for Mac,1
"Haskell Studio,",1
Haskell for Mac,1
"Haskell for Mac, Chocolat",1
Haskell layer for spacemacs,1
Inhouse Haskell IDE,1
IntelliJ,19
IntelliJ IDEA,4
IntelliJ Idea,1
Intellig,1
Intellij,7
Intellij-Haskell,1
Intellj,1
KEdit,1
Kate,2
Kate (KDE),1
Leksah,2
"Mousepad, Gedit",1
My students use others,1
NeoVim,2
Neovim,12
Nuclide,1
"Pluma, nano",1
SpaceMacs,1
Spacemacs,12
Spacemacs with vim bindings,1
Spacemacs with vim keybindings,1
"Spacemacs, IntelliJ",1
TextMate,4
"Tried Intellij, back to Atom",1
Yi,1
emacs+evil,1
gVim,1
geany,4
gedit,2
intellij,2
kakoune,1
kate,3
mcedit,2
nano,3
nano (unironically),1
"nano, yi",1
neovim,6
"sam, ed, notepad",1
scite,1
spacemacs,5
vis (vim-like),1
yi,1
